OBESITY_zip,LocationName,lat,lng
22.8,1944,42.58,-70.76
19.5,2420,42.46,-71.22
23.2,2635,41.62,-70.44
21.8,2130,42.31,-71.12
29.9,1344,42.61,-72.43
31.4,2861,41.88,-71.35
27.7,2818,41.64,-71.48
22.3,2186,42.24,-71.08
21.1,1730,42.5,-71.28
33,1331,42.6,-72.2
29.4,1339,42.6,-72.9
25.6,1260,42.3,-73.2
23.9,1821,42.55,-71.26
25.3,2892,41.5,-71.58
27.6,2872,41.62,-71.32
29.8,1013,42.16,-72.6
26.7,2813,41.4,-71.66
30.3,1504,42.04,-71.53
24.1,2559,41.69,-70.62
24.4,1264,42.23,-73.21
23.5,2668,41.71,-70.34
17.3,2114,42.363,-71.066
28.4,2817,41.6,-71.7
27.2,1545,42.29,-71.71
23,1845,42.67,-71.08
23.4,1242,42.37,-73.27
26.8,2554,41.3,-70.1
22.7,2670,41.67,-70.17
25.8,1906,42.47,-71.01
30.8,1515,42.21,-72.05
34.9,1610,42.25,-71.81
23,2631,41.75,-70.07
17.4,2467,42.32,-71.16
20.2,2170,42.27,-71.02
34.7,2860,41.88,-71.39
20.8,1778,42.36,-71.36
25.9,2852,41.59,-71.46
32.5,1468,42.54,-72.07
31.5,1583,42.36,-71.78
16.1,2113,42.365,-71.055
30.4,2839,41.95,-71.64
25.2,2906,41.84,-71.39
22,2476,42.42,-71.18
29.1,2375,42.02,-71.11
28.5,2576,41.77,-70.76
24,2663,41.915,-70.0267
27,2382,42.08,-70.94
31.3,1535,42.27,-72.08
24.4,2561,41.774,-70.541
24.8,1073,42.23,-72.74
25.4,1854,42.65,-71.35
24.9,1027,42.3,-72.7
31.4,2914,41.81,-71.36
28.9,2748,41.56,-70.98
24.6,2145,42.39,-71.09
28.6,2725,41.72,-71.18
24.8,1469,42.66,-71.7
24.8,1254,42.38,-73.37
24.2,1929,42.64,-70.78
24.1,1033,42.26,-72.5
17.7,2116,42.35,-71.08
32.8,1453,42.52,-71.77
29.7,1541,42.46,-71.89
25.9,2791,41.52,-71.076
27.6,1532,42.32,-71.63
26.7,2338,41.99,-70.86
27.4,1009,42.19,-72.31
23.8,2641,41.744,-70.161
23.9,1908,42.44,-70.92
22.6,2081,42.15,-71.26
29.7,1501,42.2,-71.85
30.1,2826,41.96,-71.64
26.2,1464,42.58,-71.64
29.8,1430,42.65,-71.92
24.6,2660,41.71,-70.15
26.8,2875,41.46,-71.64
27.3,2871,41.59,-71.26
29.4,1519,42.2,-71.68
